Country,Continent,Total_Cases,New_Cases,Total_deaths,New_deaths,Total_recovered,Active_Cases,Critical_cases,TotalCasesPerMilion,DeathPerMillion,TotalTests,TestPerMillion,Population
Georgia,Europe,1137,6,16,,922,199,5,285,4,204356,51235,3988576
Niger,Africa,1132,,69,,1027,36,,47,3,9052,373,24257345
Uganda,Africa,1128,13,2,,986,140,,25,0.04,262277,5723,45828193
Burkina Faso,Africa,1100,14,53,,926,121,,53,3,0,0,20939133
Cyprus,Europe,1060,3,19,,852,189,,877,16,196479,162648,1207998
Angola,Africa,950,18,41,1,242,667,15,29,1,10000,304,32928236
Chad,Africa,922,7,75,,810,37,,56,5,0,0,16455035
Andorra,Europe,907,10,52,,803,52,,11737,673,3750,48529,77274
Togo,Africa,874,6,18,,607,249,2,105,2,40856,4928,8291267
Sao Tome and Principe,Africa,865,2,14,,734,117,,3942,64,2805,12783,219432
Jamaica,North America,842,5,10,,714,118,,284,3,36194,12219,2962126
Botswana,Africa,739,53,2,1,63,674,1,314,0.8,66744,28344,2354776
Diamond Princess,Asia,712,,13,,651,48,4,0,0,0,0,
Malta,Europe,701,1,9,,665,27,,1587,20,120995,273973,441631
San Marino,Europe,699,,42,,657,0,,20598,1238,5729,168818,33936
Syria,Asia,674,24,40,2,210,424,,38,2,0,0,17527951
Channel Islands,Europe,584,,47,,533,4,,3357,270,30721,176580,173978
Tanzania,Africa,509,,21,,183,305,7,9,0.4,0,0,59839710
Lesotho,Africa,505,,12,,128,365,,236,6,7463,3482,2143479
Taiwan,Asia,462,4,7,,440,15,,19,0.3,80623,3385,23820024
Vietnam,Asia,431,11,0,,365,66,,4,0,275000,2823,97401565
Guyana,South America,389,19,20,,181,188,4,494,25,4416,5612,786833
Bahamas,North America,382,40,11,,91,280,1,971,28,4014,10200,393513
Burundi,Africa,378,17,1,,301,76,,32,0.08,13573,1139,11912498
Comoros,Africa,354,,7,,328,19,,407,8,0,0,870819
Myanmar,Asia,350,,6,,292,52,,6,0.1,111425,2047,54436439
Mauritius,Africa,344,,10,,332,2,,270,8,205285,161397,1271927
Isle of Man,Europe,336,,24,,312,0,,3950,282,7843,92199,85066
Gambia,Africa,326,49,8,2,66,252,,135,3,4515,1865,2420891
Mongolia,Asia,288,,0,,218,70,6,88,0,33392,10175,3281901
Martinique,North America,269,,15,,98,156,4,717,40,12227,32584,375243
Eritrea,Africa,265,2,0,,191,74,,75,0,0,0,3549833
Cambodia,Asia,225,,0,,143,82,1,13,0,58499,3496,16735052
Faeroe Islands,Europe,214,,0,,188,26,2,4378,0,35451,725310,48877
Guadeloupe,North America,203,,14,,176,13,3,507,35,15235,38075,400129
Cayman Islands,North America,203,,1,,202,0,,3086,15,28904,439431,65776
Gibraltar,Europe,185,,0,,180,5,,5491,0,19731,585663,33690
Bermuda,North America,154,1,9,,141,4,1,2473,145,20407,327771,62260
Trinidad and Tobago,South America,148,1,8,,128,12,,106,6,6550,4679,1399827
Brunei,Asia,141,,3,,138,0,,322,7,37058,84650,437779
Aruba,South America,119,,3,,102,14,,1114,28,10111,94672,106800
Monaco,Europe,116,,4,,104,8,,2955,102,38209,973180,39262
Sint Maarten,North America,114,,15,,63,36,,2657,350,634,14775,42910
Seychelles,Africa,114,,0,,39,75,,1159,0,0,0,98392
Barbados,North America,110,,7,,94,9,,383,24,10544,36687,287402
Turks and Caicos,North America,99,2,2,,36,61,1,2555,52,1121,28927,38753
Bhutan,Asia,95,2,0,,85,10,,123,0,41477,53712,772211
Antigua and Barbuda,North America,86,4,3,,65,18,1,878,31,1237,12624,97988
Liechtenstein,Europe,86,,1,,81,4,,2255,26,900,23600,38136
Papua New Guinea,Oceania,62,,0,,11,51,,7,0,10000,1116,8958371
French Polynesia,Oceania,62,,0,,60,2,,221,0,4649,16543,281027
St. Vincent Grenadines,North America,52,,0,,39,13,,469,0,1834,16528,110966
Saint Martin,North America,49,,3,,41,5,1,1266,77,1080,27899,38711
Belize,North America,48,,2,,26,20,,121,5,3166,7952,398114
Macao,Asia,46,,0,,46,0,,71,0,4071,6264,649951
Curacao,South America,29,,1,,24,4,,177,6,1080,6580,164143
Fiji,Oceania,27,,0,,18,9,,30,0,4000,4460,896918
Saint Lucia,North America,24,,0,,22,2,,131,0,2968,16158,183689
Timor-Leste,Asia,24,,0,,24,0,,18,0,1568,1188,1320125
Grenada,North America,23,,0,,23,0,,204,0,5465,48551,112562
New Caledonia,Oceania,22,,0,,22,0,,77,0,10119,35419,285695
Laos,Asia,20,,0,,19,1,,3,0,25875,3553,7282865
Dominica,North America,18,,0,,18,0,,250,0,1005,13959,71999
Saint Kitts and Nevis,North America,17,,0,,15,2,,319,0,948,17811,53226
Greenland,North America,14,1,0,,13,1,,247,0,5742,101133,56777
Falkland Islands,South America,13,,0,,13,0,,3729,0,1816,520941,3486
Montserrat,North America,12,,1,,10,1,,2404,200,61,12220,4992
Vatican City,Europe,12,,0,,12,0,,14981,0,0,0,801
Caribbean Netherlands,North America,11,,0,,7,4,,419,0,0,16159,26240
Western Sahara,Africa,10,,1,,8,1,,17,2,0,0,598280
British Virgin Islands,North America,8,,1,,7,0,,264,33,439,14514,30246
St. Barth,North America,7,,0,,6,1,,709,0,1246,126126,9879
Saint Pierre Miquelon,North America,4,,0,,1,3,,691,0,0,0,5792
Anguilla,North America,3,,0,,3,0,,200,0,380,25311,15013
